,Filename,Sites,Seqs,Method,DH,TH,THI
1,ENSG00000145088,24,261,FMM,0.0,0.0,5.845772172146976
2,ENSG00000087365,24,895,FMM,0.0651812867002663,0.04105461541830614,0.0
3,ENSG00000128908,24,1556,FMM,0.02217133982564897,0.1463867527209033,0.0
4,ENSG00000064726,24,482,FMM,0.06679518837495746,0.06441159961868742,0.0
5,ENSG00000168216,24,540,FMM,0.1043405695056848,0.0,0.0
6,ENSG00000166340,24,563,FMM,0.05613881118262164,0.06535705435552805,0.0
7,ENSG00000165832,24,349,FMM,0.0,0.08065697998510306,0.0
8,ENSG00000266134,24,372,FMM,0.0,0.07494474712891724,0.0
9,ENSG00000167671,24,441,FMM,0.09632281600331916,0.07719837262581376,0.0
10,ENSG00000160710,24,1262,FMM,0.05518055422570308,0.01889934082145654,1.324306577945992
11,ENSG00000135454,24,533,FMM,0.1360025759307529,0.02638931319392039,0.0
12,ENSG00000180198,24,452,FMM,0.006080377030781072,0.0,0.0
13,ENSG00000153989,24,293,FMM,0.0430178972883126,0.0,0.0
14,ENSG00000127325,24,668,FMM,0.09993719184688839,0.02364077508607377,0.0
15,ENSG00000100599,24,985,FMM,0.08590038611139744,0.1157747041373391,0.0
16,ENSG00000123388,24,377,FMM,0.05635290978872511,0.0,0.0
17,ENSG00000196652,24,838,FMM,0.007856966678477087,0.0,2.525283653614264
18,ENSG00000102898,24,127,FMM,0.01160404363131451,0.0,0.0
19,ENSG00000139173,24,514,FMM,0.08475189318350296,0.0,0.0
20,ENSG00000023041,24,413,FMM,0.03262381398890268,0.0,0.0
21,ENSG00000048052,24,1069,FMM,0.07841259666320485,0.0,0.0
22,ENSG00000110756,24,1129,FMM,0.01019749064787416,0.0408179524614018,3.393194972164631
23,ENSG00000151806,24,664,FMM,0.06671871537962637,0.04536191998815455,6.257333996161223
24,ENSG00000168564,24,580,FMM,0.08887785999748145,0.1110132332782038,0.0
25,ENSG00000164007,24,224,FMM,0.0960776042494967,0.0,0.0
26,ENSG00000133997,24,253,FMM,0.0,0.0,0.0
27,ENSG00000143324,24,696,FMM,0.02648308361139015,0.2125875568153272,0.0
28,ENSG00000260703,24,665,FMM,0.03000525785071345,0.1318849901689221,5.153656810559674
29,ENSG00000085185,24,1785,FMM,0.0009651398468281876,0.02498433394054411,0.0
30,ENSG00000108352,24,509,FMM,0.02671312145598962,0.0,0.0
31,ENSG00000141627,24,669,FMM,0.03533719207267516,0.04438838414574753,0.0
32,ENSG00000196150,24,585,FMM,0.1243699132594567,0.2864018404947327,0.0
33,ENSG00000196090,24,1460,FMM,0.01810021708019858,0.0,0.0
34,ENSG00000187323,24,1447,FMM,0.003661823501034077,0.04226340162441238,0.0
35,ENSG00000169855,24,1651,FMM,0.01240173053069587,0.0,0.0
36,ENSG00000101247,24,345,FMM,0.0,0.1050536788982251,0.0
37,ENSG00000108219,24,270,FMM,0.0,0.1808210574785452,0.0
38,ENSG00000168000,24,464,FMM,0.02054248064203443,0.07515606217105228,0.0
39,ENSG00000138379,24,375,FMM,0.03743348823765781,0.0,0.0
40,ENSG00000164024,24,386,FMM,0.0,0.0,0.0
41,ENSG00000228716,24,187,FMM,0.0,0.0,0.0
42,ENSG00000182400,24,158,FMM,0.09637087038765314,0.0,0.0
43,ENSG00000048545,24,201,FMM,0.1691224180484643,0.0,0.0
44,ENSG00000168300,24,357,FMM,0.1959524268992296,0.0,0.0
45,ENSG00000111321,24,430,FMM,0.0,0.117475519023858,0.0
46,ENSG00000100504,24,847,FMM,0.0,0.0,0.0
47,ENSG00000002919,24,270,FMM,0.006886308917026601,0.0,0.0
48,ENSG00000165801,24,1518,FMM,0.02413038254603762,0.06797601741886222,0.0
49,ENSG00000134717,24,158,FMM,0.2749368158301626,0.0,0.0
50,ENSG00000117143,24,522,FMM,0.0815296377626203,0.253495705401771,0.0
51,ENSG00000154832,24,654,FMM,0.09792923499989564,0.2712016363253885,0.0
52,ENSG00000215041,24,1560,FMM,0.1064219061206754,0.0,0.5026676022972815
53,ENSG00000198176,24,406,FMM,0.0,0.0,0.0
54,ENSG00000111481,24,180,FMM,0.1156393291355763,0.0,0.0
55,ENSG00000015479,24,895,FMM,0.0,0.0,0.0
56,ENSG00000107371,24,275,FMM,0.04348198658774564,0.0,9.793069728245676
57,ENSG00000172795,24,420,FMM,0.0,0.112888584249686,0.0
58,ENSG00000130396,24,1805,FMM,0.06597498536740841,0.007638504651167544,0.0
59,ENSG00000125821,24,209,FMM,0.01425284903088906,0.0,0.0
60,ENSG00000175315,24,149,FMM,0.05921348750076807,0.0,0.0
61,ENSG00000163599,24,223,FMM,0.07941091685401712,0.4150174351427226,0.0
62,ENSG00000140829,24,1227,FMM,0.05238861303963521,0.0,0.0
63,ENSG00000088986,24,89,FMM,0.0,0.0,0.0
64,ENSG00000157764,24,735,FMM,0.2072855220375256,0.0,0.0
65,ENSG00000139644,24,294,FMM,0.02872536998161426,0.2148300471502358,0.0
66,ENSG00000164684,24,412,FMM,0.0,0.07119245023706386,0.0
67,ENSG00000147202,24,1104,FMM,0.06553465437273144,0.176247825748245,0.0
68,ENSG00000135334,24,203,FMM,0.0,0.0,0.0
69,ENSG00000108829,24,307,FMM,0.0,0.0,0.0
70,ENSG00000182827,24,528,FMM,0.0,0.0,0.0
71,ENSG00000115850,24,1920,FMM,0.07461758709408169,0.05874143335200584,0.0
72,ENSG00000164117,24,319,FMM,0.0,0.0,0.0
73,ENSG00000161896,24,410,FMM,0.0,0.2285441122910621,0.0
74,ENSG00000173068,24,1098,FMM,0.0249395537170766,0.260540222665968,0.0
75,ENSG00000123338,24,1127,FMM,0.0,0.0901026023208582,0.0
76,ENSG00000165275,24,316,FMM,0.08143340996082539,0.0,0.0
77,ENSG00000173226,24,598,FMM,0.03998565675367326,0.04721514473498929,0.0
78,ENSG00000197747,24,97,FMM,0.1327579389127048,0.0,0.0
79,ENSG00000010671,24,659,FMM,0.1096438541063922,0.0,0.0
80,ENSG00000143190,24,766,FMM,0.1021860613846805,0.0892090908351727,0.0
81,ENSG00000166226,24,534,FMM,0.05878121598937996,0.0,0.0
82,ENSG00000101265,24,326,FMM,0.03889509816980133,0.0,0.0
83,ENSG00000175707,24,396,FMM,0.009478269061307405,0.0,0.0
84,ENSG00000168734,24,76,FMM,0.0,0.1729591607464801,0.0
85,ENSG00000125246,24,340,FMM,0.02083353466792189,0.0,0.0
86,ENSG00000166446,24,498,FMM,0.0,0.01502978587077091,0.0
87,ENSG00000174165,24,284,FMM,0.0,0.0,0.0
88,ENSG00000105738,24,1776,FMM,0.05180631699633476,0.009313971039222116,0.0
89,ENSG00000155561,24,2012,FMM,0.03432143406099777,0.02636292529781918,0.0
90,ENSG00000159197,24,123,FMM,0.0,0.1018698640894489,0.0
91,ENSG00000186635,24,1447,FMM,0.1351628213257698,0.07455697258135818,1.350249393192419
92,ENSG00000114854,24,161,FMM,0.0,0.0,0.0
93,ENSG00000188984,24,350,FMM,0.1031473617553179,0.0,0.0
94,ENSG00000084092,24,680,FMM,0.06048389699994623,0.0,0.0
95,ENSG00000113810,24,1286,FMM,0.05674772065273615,0.07723251634760124,0.0
96,ENSG00000118640,24,99,FMM,0.1093609270360799,0.0,32.87803806118302
97,ENSG00000178233,24,523,FMM,0.100379435516794,0.0,0.0
98,ENSG00000085491,24,477,FMM,0.1126271971294243,0.0,0.0
99,ENSG00000154473,24,328,FMM,0.0,0.0,0.0
100,ENSG00000099377,24,369,FMM,0.0,0.0,0.0
101,ENSG00000162999,24,217,FMM,0.1001688899728679,0.08211114412500935,0.0
102,ENSG00000170802,24,428,FMM,0.03027776253800707,0.05170054851597537,0.0
103,ENSG00000103449,24,1315,FMM,0.07636936092111055,0.02916098426536749,0.0
104,ENSG00000133265,24,359,FMM,0.09013419052719228,0.0,0.0
105,ENSG00000204316,24,380,FMM,0.1096450220166916,0.1330177946424266,0.0
106,ENSG00000117400,24,635,FMM,0.03539874228437664,0.04107013307951483,0.0
107,ENSG00000187037,24,303,FMM,0.0,0.1203836499985983,0.0
108,ENSG00000107518,24,1377,FMM,0.0,0.0,0.0
109,ENSG00000267618,24,271,FMM,0.1038012897798451,0.0,0.0
110,ENSG00000105518,24,189,FMM,0.07281886898327779,0.2617504160396134,0.0
111,ENSG00000175161,24,437,FMM,0.08520964576953996,0.0,0.0
112,ENSG00000138074,24,633,FMM,0.06402064827051435,0.1351208026672314,17.04984573928036
113,ENSG00000105559,24,779,FMM,0.04492254129288317,0.01428267729645486,0.0
114,ENSG00000177096,24,260,FMM,0.02307336065770218,0.0,0.0
115,ENSG00000106443,24,883,FMM,0.0,0.09330875400922263,0.0
116,ENSG00000184860,24,393,FMM,0.1244258666685325,0.1843450562682958,0.0
117,ENSG00000118804,24,359,FMM,0.1054158318870688,0.0,0.0
118,ENSG00000186153,24,405,FMM,0.08571229511498053,0.0,0.0
119,ENSG00000138380,24,725,FMM,0.001661027089369456,0.04302251286997653,0.0
120,ENSG00000162894,24,389,FMM,0.1140842405475017,0.02852065669351962,0.0
121,ENSG00000263309,24,422,FMM,0.04936420197192024,0.0,0.0
122,ENSG00000128602,24,785,FMM,0.00179775951126628,0.0,3.974899186926568
123,ENSG00000137845,24,748,FMM,0.1256680901967865,0.0,0.0
124,ENSG00000115641,24,334,FMM,0.009891469454899753,0.03210617206509007,0.0
125,ENSG00000053900,24,809,FMM,0.02396046142737426,0.1053717157465495,0.0
126,ENSG00000189280,24,273,FMM,0.1697381942036473,0.0,0.0
127,ENSG00000007038,24,267,FMM,0.07378880118970498,0.0,0.0
128,ENSG00000100348,24,165,FMM,0.0,0.09192857113789833,0.0
129,ENSG00000065548,24,426,FMM,0.0,0.0,0.0
130,ENSG00000102010,24,657,FMM,0.03092471945047666,0.0,0.0
131,ENSG00000102316,24,606,FMM,0.08570518491803411,0.04519779884550905,0.0
132,ENSG00000171612,24,321,FMM,1.971304161267433e-05,0.1042188825424651,0.0
133,ENSG00000144481,24,1104,FMM,0.07579260065742595,0.04551318000860909,0.0
134,ENSG00000141744,24,279,FMM,0.2159682578254419,0.2793895855602133,0.0
135,ENSG00000041515,24,1754,FMM,0.04728750507600971,0.04878647597727621,0.4474436408135228
136,ENSG00000020181,24,1332,FMM,0.07282517556766242,0.1242775744995752,0.0
